Station ID	Lat	Long	No. Annual Series	Zero-1;NonZero-2	FreqZero	Regional Skew	Cont-1;PR-2	A	Slope	P1006	C	Sand	Long	OutletElev	E
06687000	41.336944	-102.174722	81	2	0	0.499	1	897.9	5.528	3.88	5.200	81.082	102.174722	3310	3926
06759100	40.282759	-103.875506	11	2	0	-0.052	1	1383	4.714	3.99	25.327	33.772	103.875506	4302	5481
06762500	41.227778	-103.893056	72	2	0	0.099	1	1216.1	4.137	3.15	14.096	49.630	103.893056	4843	5872
06763500	41.033333	-102.405000	37	2	0	0.386	1	3307	3.252	3.72	16.661	35.981	102.405000	3590	5127
06767200	40.705008	-100.240412	27	2	0	0.418	1	1.83	7.390	4.76	22.139	4.524	100.240412	2737	2830
06821300	39.519987	-103.443555	11	2	0	-0.073	1	6.8	2.646	4.24	25.057	15.994	103.443555	5230	5350
06821400	39.906657	-102.269361	11	2	0	-0.03	1	19.8	2.234	4.37	21.431	12.281	102.269361	3680	3899
06821500	40.029167	-101.967500	82	2	0	-0.004	1	1700	3.007	4.27	18.793	35.635	101.967500	3251	4526
06823000	40.069435	-102.051298	83	2	0	0.014	1	2370	3.033	4.05	10.936	62.844	102.051298	3336	3991
06823500	40.039444	-101.866667	73	2	0	0.002	1	176.8	4.319	4.26	6.587	75.983	101.866667	3189	3661
06825000	39.616382	-102.242692	32	2	0	-0.043	1	1412	2.770	4.56	21.655	31.488	102.242692	3680	4639
06825500	39.575549	-102.252136	26	2	0	-0.045	1	268.9	2.983	4.63	23.689	21.106	102.252136	3720	4333
06826900	39.697215	-102.177412	11	2	0	-0.038	1	14.6	2.088	4.56	21.300	12.615	102.177412	3750	3894
06829700	40.162222	-100.959048	13	2	0	0.089	1	9.1	10.608	4.52	22.041	8.833	100.959048	2670	2839
06831500	40.431667	-101.626944	31	2	0	0.223	1	1050	2.061	4.28	17.819	43.083	101.626944	3130	3740
06835000	40.373056	-101.116944	23	2	0	0.212	1	1500	3.539	4.46	15.030	44.324	101.116944	2741	3374
06835100	40.304720	-101.111550	13	2	0	0.172	1	30.2	8.383	4.38	21.985	9.186	101.111550	2920	3031
06836000	40.236111	-100.811111	42	2	0	0.133	1	320	8.915	4.44	20.659	13.805	100.811111	2555	3005
06836500	40.145837	-100.673208	33	2	0	0.076	1	361	6.297	4.61	21.673	9.125	100.673208	2503	2941
06838200	40.234172	-100.427369	37	2	0	0.128	1	69	6.738	4.65	21.833	5.594	100.427369	2370	2655
06838550	40.250562	-100.317643	23	2	0	0.138	1	42	6.255	4.75	21.845	5.603	100.317643	2320	2568
06839200	40.602787	-100.700984	27	2	0	0.357	1	6.7	19.031	4.52	21.601	6.352	100.700984	2780	2939
06839600	40.584731	-100.629593	19	2	0	0.345	1	11.3	13.632	4.56	21.918	5.983	100.629593	2722	2881
