Station.ID	Lat	Long	No..Annual.Series	Zero.1.NonZero.2	FreqZero	Regional.Skew	Cont.1.PR.2	A	P1006	C	Sand	Long.1	OutletElev	E	Slope
06675300	41.455811	-104.883859	21	2	0	-0.022	1	8.16	2.81	12.160	55.429	104.883859	6240	6235	7.78
06687000	41.336944	-102.174722	81	2	0	0.499	1	897.9	3.88	5.200	81.082	102.174722	3310	3926	5.53
06707000	39.408878	-105.175823	72	2	0	-0.148	1	475.7	2.56	17.526	53.281	105.175823	6091	9464	31.55
06829700	40.162222	-100.959048	13	2	0	0.089	1	9.1	4.52	22.041	8.833	100.959048	2670	2839	10.61
06831500	40.431667	-101.626944	31	2	0	0.223	1	1050	4.28	17.819	43.083	101.626944	3130	3740	2.06
06835000	40.373056	-101.116944	23	2	0	0.212	1	1500	4.46	15.030	44.324	101.116944	2741	3374	3.54
06835100	40.304720	-101.111550	13	2	0	0.172	1	30.2	4.38	21.985	9.186	101.111550	2920	3031	8.38
06836000	40.236111	-100.811111	42	2	0	0.133	1	320	4.44	20.659	13.805	100.811111	2555	3005	8.91
06836500	40.145837	-100.673208	33	2	0	0.076	1	361	4.61	21.673	9.125	100.673208	2503	2941	6.30
06838200	40.234172	-100.427369	37	2	0	0.128	1	69	4.65	21.833	5.594	100.427369	2370	2655	6.74
06838550	40.250562	-100.317643	23	2	0	0.138	1	42	4.75	21.845	5.603	100.317643	2320	2568	6.26
06839200	40.602787	-100.700984	27	2	0	0.357	1	6.7	4.52	21.601	6.352	100.700984	2780	2939	19.03
06839600	40.584731	-100.629593	19	2	0	0.345	1	11.3	4.56	21.918	5.983	100.629593	2722	2881	13.63
06839850	40.826396	-100.524030	19	2	0	0.493	1	13.8	4.54	21.601	6.352	100.524030	2760	2936	18.59
06839900	40.744453	-100.531532	28	2	0	0.443	1	31.8	4.55	21.638	6.324	100.531532	2640	2889	18.84
07107500	38.051673	-104.793594	27	2	0	-0.101	1	171.4	4.12	22.762	42.575	104.793594	5350	7965	28.37
07108900	38.245558	-104.486360	36	2	0	-0.102	1	474	3.78	24.916	31.695	104.486360	4582	6676	11.64
07111000	37.727782	-105.351395	76	2	0	-0.098	1	73	3.15	17.234	50.684	105.351395	8270	10058	31.75
