Z06687000                       USGS 
H06687000       4120131021029003131069SW10180009897.9  80.00   3310.04          
N06687000       BLUE CREEK NEAR LEWELLEN, NEBR.
Y06687000       
306687000       19941007    187                4.06
306687000       19950528    177                4.51
306687000       19960829    152                4.35
306687000       19970603    174                8.28
306687000       19980621    180                4.76
306687000       19990514    159                4.76
306687000       20000501    141                4.75
306687000       20010919    189                4.72
306687000       20020706    125                4.54
306687000       20030621    170                4.72
306687000       20040915    140                4.34
306687000       20050627    141                4.44
306687000       20051012    110                4.12
306687000       20070815    213                4.78
306687000       20080412    114                3.67
306687000       20090625    176                4.15
306687000       20100310    179                4.18
306687000       20110520    149                4.00
