Station ID	Q50%	Q2%	Q1%
5314900	116.9866	799.8068	985.3516
5316900	133.0309	891.8325	1129.398
5316920	28.0907	201.0152	254.923
5317845	386.1444	723.3739	774.3868
5317850	90.26659	338.3094	387.8136
5318000	373.4388	1857.425	2223.184
5318100	151.5162	680.7802	818.6489
5318300	105.9247	1694.13	2475.894
5318897	433	3210	4090
5319500	2841.914	12988.49	15936.73
5320200	19.36935	193.7181	272.1024
5320300	133.2624	471.3315	559.9499
5320400	140.1637	1362.86	1869.517
5320440	202.5586	1049.68	1312.542
5320480	2226.945	5608.229	6252.808
5320500	4613.357	19449.63	23196.92
5352700	56.8349	315.5081	384.648
5352800	97.32951	437.47	524.843
5372800	2125.164	9927.438	12239.6
5372930	1096.924	7533.833	10083.51
5372950	537.7355	5286.354	7472.83
5372990	577.795	2433.872	2922.033
5373080	506.6125	2858.164	3591.597
5373350	30.14501	182.4531	228.802
5374400	195.6745	902.2869	1097.834
5376000	1661.098	17374.76	23475.48
5376500	1606.114	7990.375	9482.062
5378200	891.0901	3668.354	4532.128
5378300	268.381	2144.43	2710.936
5379000	354.2944	4214.722	5802.411
5382200	787.4347	3196.516	3701.953
5382300	127.168	291.9259	326.524
5382500	999.0792	3418.294	3962.307
5383000	2465.258	6992.66	7979.206
5383600	68.30978	468.669	599.1992
5383700	405.006	1005.121	1125.171
5383720	1509.021	9200.373	11809.07
5383850	683.462	3747.177	4684.555
5384000	7657.977	25516.68	29403.37
