Station ID	Skew50%	Skew2%	Skew1%
5314900	-0.4378513	-0.4378513	-0.4378513
5316900	-0.1628717	-0.1628717	-0.1628717
5316920	-0.224812	-0.224812	-0.224812
5317845	-0.4373209	-0.4373209	-0.4373209
5317850	-0.5238652	-0.5238652	-0.5238652
5318000	-0.3778404	-0.3778404	-0.3778404
5318100	-0.1882706	-0.1882706	-0.1882706
5318300	0.0813257	0.0813257	0.0813257
5318897	-0.2199	-0.2199	-0.2199
5319500	0.0368123	0.0368123	0.0368123
5320200	0.301714	0.301714	0.301714
5320300	0.0716433	0.0716433	0.0716433
5320400	0.123498	0.123498	0.123498
5320440	0.0607876	0.0607876	0.0607876
5320480	-0.2773506	-0.2773506	-0.2773506
5320500	-0.1934676	-0.1934676	-0.1934676
5352700	-0.3161195	-0.3161195	-0.3161195
5352800	-0.2169663	-0.2169663	-0.2169663
5372800	0.060633	0.060633	0.060633
5372930	0.382059	0.382059	0.382059
5372950	0.385835	0.385835	0.385835
5372990	-0.1072303	-0.1072303	-0.1072303
5373080	-0.01383939	-0.01383939	-0.01383939
5373350	-0.1332477	-0.1332477	-0.1332477
5374400	-0.08422817	-0.08422817	-0.08422817
5376000	-0.08696695	-0.08696695	-0.08696695
5376500	-0.4687821	-0.4687821	-0.4687821
5378200	0.341917	0.341917	0.341917
5378300	-0.3649173	-0.3649173	-0.3649173
5379000	-0.06969751	-0.06969751	-0.06969751
5382200	-0.5004891	-0.5004891	-0.5004891
5382300	0.0400738	0.0400738	0.0400738
5382500	-0.2367817	-0.2367817	-0.2367817
5383000	-0.117111	-0.117111	-0.117111
5383600	-0.09854396	-0.09854396	-0.09854396
5383700	-0.1627242	-0.1627242	-0.1627242
5383720	0.105583	0.105583	0.105583
5383850	-0.02941165	-0.02941165	-0.02941165
5384000	-0.2773225	-0.2773225	-0.2773225
