Station ID	K-50%	K-2%	K-1%
5314900	0.072767413	1.812297037	2.001088134
5316900	0.027070618	1.965394581	2.205978284
5316920	0.037384795	1.93130667	2.15995156
5317845	0.072680595	1.812593884	2.001480333
5317850	0.08694837	1.763634163	1.936943252
5318000	0.062842982	1.846054561	2.045862906
5318100	0.031297102	1.951447779	2.187118374
5318300	-0.013515765	2.097095217	2.385975852
5318897	0.083117378	4.218179812	4.718266673
5319500	-0.006119623	2.073431829	2.353375962
5320200	-0.05021578	2.21168206	2.545434209
5320300	-0.011904809	2.091969296	2.378903582
5320400	-0.020526419	2.119353595	2.416735811
5320440	-0.010102404	2.086201257	2.370956573
5320480	0.046162668	1.90218558	2.12081518
5320500	0.032161704	1.948586188	2.183254439
5352700	0.052610758	1.880608501	2.091927142
5352800	0.036077556	1.935636761	2.165786039
5372800	-0.010074929	2.086119148	2.370843197
5372930	-0.063541133	2.252341203	2.602684208
5372950	-0.064165022	2.25423346	2.605358363
5372990	0.017820983	1.995796321	2.247229884
5373080	0.002301058	2.046323439	2.316172943
5373350	0.022148351	1.981612222	2.227965038
5374400	0.013997827	2.008296887	2.264241009
5376000	0.0144538	2.006811996	2.262218142
5376500	0.077873222	1.794821396	1.977990323
5378200	-0.056892064	2.23210384	2.574143948
5378300	0.060701594	1.853302285	2.055504884
5379000	0.011581799	2.016175991	2.274978075
5382200	0.083100798	1.776882643	1.954355253
5382300	-0.006657815	2.075179274	2.355775512
5382500	0.039378013	1.924685774	2.151041177
5383000	0.019463871	1.990412151	2.2399138
5383600	0.016378007	2.000520072	2.253655043
5383700	0.027044003	1.965471533	2.206083685
5383720	-0.017547655	2.109914574	2.403680662
5383850	0.004887033	2.037944157	2.304705099
5384000	0.046157329	1.902207429	2.120841931
