Station ID	Lat	Long	No. Annual Series	Zero-1;NonZero-2	FreqZero	Regional Skew	Cont-1;PR-2	DRNAREA	LENGTH	BFI	ANNTAU	PRECIP	CLAY
05314900	44.18139	96.10194	23	2	0	-0.265	1	6.368	6.614	0.496	27.396	26.231	25.110
05316900	44.1225	95.20361	25	2	0	-0.173	1	3.146	6.062	0.518	26.963	27.593	28.088
05316920	44.17611	95.12083	27	2	0	-0.166	1	0.412	1.110	0.518	26.963	27.316	24.702
05317845	43.63277	93.70777	27	2	0	-0.192	1	30.307	11.676	0.565	27.567	31.898	25.352
05317850	43.65861	93.59167	26	2	0	-0.201	1	2.214	3.536	0.565	27.567	31.782	27.394
05318000	43.63055	93.79025	35	2	0	-0.182	1	120.019	23.189	0.565	26.315	31.263	26.092
05318100	43.61916	94.01768	26	2	0	-0.165	1	9.365	6.612	0.565	22.437	31.651	34.846
05318300	43.99861	95.11974	44	2	0	-0.165	1	13.550	9.319	0.518	26.963	28.258	27.087
05318897	43.88417	94.68584	26	2	0	-0.142	1	110.489	48.276	0.518	24.754	28.891	27.463
05319500	44.04639	94.19507	39	2	0	-0.13	1	872.992	117.383	0.528	25.497	28.979	25.168
05320200	44.12472	93.95918	27	2	0	-0.132	1	0.063	0.597	0.570	28.055	31.060	33.333
05320300	44.01805	93.95834	27	2	0	-0.137	1	6.916	4.686	0.570	28.055	31.024	37.211
05320400	43.92167	94.02139	27	2	0	-0.142	1	6.486	5.137	0.570	26.285	30.817	49.882
05320440	43.88806	94.12723	14	2	0	-0.141	1	17.865	19.202	0.543	22.437	30.677	32.868
05320480	44.065	94.02556	35	2	0	-0.13	1	342.430	91.957	0.561	23.230	30.836	34.843
05320500	44.11111	94.04111	64	2	0	-0.126	1	1128.001	201.751	0.568	27.813	31.546	30.672
05352700	44.00056	93.14166	26	2	0	-0.214	1	1.462	2.271	0.614	43.257	32.235	26.964
05352800	44.00722	93.20555	26	2	0	-0.206	1	5.029	11.572	0.614	36.219	32.195	27.911
05372800	44.00722	92.47195	15	2	0	-0.244	1	158.139	40.880	0.675	42.871	32.690	22.151
05372930	44.00806	92.44556	15	2	0	-0.243	1	84.267	18.201	0.689	53.597	32.896	20.669
05372950	44.02889	92.42889	15	2	0	-0.242	1	17.874	12.170	0.689	56.518	33.721	21.493
05372990	44.03083	92.47166	14	2	0	-0.242	1	37.823	20.104	0.689	49.924	32.640	21.842
05373080	44.12028	92.81898	25	2	0	-0.228	1	21.658	12.480	0.614	47.600	32.479	23.938
05373350	44.18778	92.42278	24	2	0	-0.233	1	0.168	0.518	0.689	56.518	32.993	20.712
05374400	44.18	92.28973	25	2	0	-0.232	1	4.474	3.119	0.689	56.518	33.802	22.050
05376000	44.09167	92.06583	29	2	0	-0.225	1	102.795	44.806	0.700	56.518	34.077	21.177
05376500	44.06944	91.98028	48	2	0	-0.219	1	80.212	46.705	0.749	57.144	34.284	21.887
05378200	44.16361	91.70777	31	2	0	-0.3905869	1	26.856	13.666	0.767	61.194	33.966	24.674
05378300	44.08583	91.84278	27	2	0	-0.202	1	5.414	5.809	0.767	61.194	34.163	22.047
05379000	44.04445	91.69025	26	2	0	-0.183	1	9.146	5.912	0.767	61.194	34.506	21.867
05382200	44.18444	91.31361	30	2	0	-0.3850265	1	14.570	6.199	0.804	61.225	34.024	19.565
05382300	43.96611	90.82583	22	2	0	-0.3966346	1	1.960	2.388	0.872	61.225	34.001	18.588
05382500	43.89584	90.84028	47	2	0	-0.3971383	1	80.362	37.756	0.826	56.534	34.116	24.294
05383000	43.90139	91.11806	58	2	0	-0.4	1	403.907	49.899	0.839	58.302	34.040	15.444
05383600	43.85555	92.44724	28	2	0	-0.254	1	0.740	1.971	0.689	43.959	32.469	25.525
05383700	43.89917	92.23778	17	2	0	-0.246	1	2.304	3.977	0.689	43.959	33.668	21.793
05383720	43.88361	92.22945	24	2	0	-0.246	1	22.314	7.789	0.689	47.071	33.873	21.497
05383850	43.72334	92.59	24	2	0	-0.265	1	14.610	8.006	0.617	35.519	34.300	23.357
05384000	43.74944	91.97861	68	2	0	-0.239	1	615.377	98.373	0.650	41.948	33.786	22.736
