"Station.ID"	"Lat"	"Lon"	"RecLen"	"LP3.S"	"LP3.K"	"LP3.G"	"LP3.GR"	"FlowChar"	"DRNAREA"	"LENGTH"	"BFI"	"ANNTAU"	"PRECIP"	"CLAY"
5314900	44.18139	96.10194	23	0.479928	2.001088134	-0.4378513	-0.265	985.3516	6.368	6.614	0.496	27.396	26.231	25.11
5316900	44.1225	95.20361	25	0.426312	2.205978284	-0.1628717	-0.173	1129.398	3.146	6.062	0.518	26.963	27.593	28.088
5316920	44.17611	95.12083	27	0.451268	2.15995156	-0.224812	-0.166	254.923	0.412	1.11	0.518	26.963	27.316	24.702
5317845	43.63277	93.70777	27	0.156682	2.001480333	-0.4373209	-0.192	774.3868	30.307	11.676	0.565	27.567	31.898	25.352
5317850	43.65861	93.59167	26	0.342215	1.936943252	-0.5238652	-0.201	387.8136	2.214	3.536	0.565	27.567	31.782	27.394
5318000	43.63055	93.79025	35	0.390695	2.045862906	-0.3778404	-0.182	2223.184	120.019	23.189	0.565	26.315	31.263	26.092
5318100	43.61916	94.01768	26	0.339842	2.187118374	-0.1882706	-0.165	818.6489	9.365	6.612	0.565	22.437	31.651	34.846
5318300	43.99861	95.11974	44	0.570427	2.385975852	0.0813257	-0.165	2475.894	13.55	9.319	0.518	26.963	28.258	27.087
5318897	43.88417	94.68584	26	0.2104	4.718266673	-0.2199	-0.142	4090	110.489	48.276	0.518	24.754	28.891	27.463
5319500	44.04639	94.19507	39	0.317351	2.353375962	0.0368123	-0.13	15936.73	872.992	117.383	0.528	25.497	28.979	25.168
5320200	44.12472	93.95918	27	0.442131	2.545434209	0.301714	-0.132	272.1024	0.063	0.597	0.57	28.055	31.06	33.333
5320300	44.01805	93.95834	27	0.260766	2.378903582	0.0716433	-0.137	559.9499	6.916	4.686	0.57	28.055	31.024	37.211
5320400	43.92167	94.02139	27	0.461622	2.416735811	0.123498	-0.142	1869.517	6.486	5.137	0.57	26.285	30.817	49.882
5320440	43.88806	94.12723	14	0.340841	2.370956573	0.0607876	-0.141	1312.542	17.865	19.202	0.543	22.437	30.677	32.868
5320480	44.065	94.02556	35	0.216116	2.12081518	-0.2773506	-0.13	6252.808	342.43	91.957	0.561	23.23	30.836	34.843
5320500	44.11111	94.04111	64	0.326073	2.183254439	-0.1934676	-0.126	23196.92	1128.001	201.751	0.568	27.813	31.546	30.672
5352700	44.00056	93.14166	26	0.407219	2.091927142	-0.3161195	-0.214	384.648	1.462	2.271	0.614	43.257	32.235	26.964
5352800	44.00722	93.20555	26	0.343608	2.165786039	-0.2169663	-0.206	524.843	5.029	11.572	0.614	36.219	32.195	27.911
5372800	44.00722	92.47195	15	0.319362	2.370843197	0.060633	-0.244	12239.6	158.139	40.88	0.675	42.871	32.69	22.151
5372930	44.00806	92.44556	15	0.361348	2.602684208	0.382059	-0.243	10083.51	84.267	18.201	0.689	53.597	32.896	20.669
5372950	44.02889	92.42889	15	0.428135	2.605358363	0.385835	-0.242	7472.83	17.874	12.17	0.689	56.518	33.721	21.493
5372990	44.03083	92.47166	14	0.315739	2.247229884	-0.1072303	-0.242	2922.033	37.823	20.104	0.689	49.924	32.64	21.842
5373080	44.12028	92.81898	25	0.367614	2.316172943	-0.01383939	-0.228	3591.597	21.658	12.48	0.614	47.6	32.479	23.938
5373350	44.18778	92.42278	24	0.399056	2.227965038	-0.1332477	-0.233	228.802	0.168	0.518	0.689	56.518	32.993	20.712
5374400	44.18	92.28973	25	0.332854	2.264241009	-0.08422817	-0.232	1097.834	4.474	3.119	0.689	56.518	33.802	22.05
5376000	44.09167	92.06583	29	0.511717	2.262218142	-0.08696695	-0.225	23475.48	102.795	44.806	0.7	56.518	34.077	21.177
5376500	44.06944	91.98028	48	0.405831	1.977990323	-0.4687821	-0.219	9482.062	80.212	46.705	0.749	57.144	34.284	21.887
5378200	44.16361	91.70777	31	0.26848	2.574143948	0.341917	-0.3905869	4532.128	26.856	13.666	0.767	61.194	33.966	24.674
5378300	44.08583	91.84278	27	0.503492	2.055504884	-0.3649173	-0.202	2710.936	5.414	5.809	0.767	61.194	34.163	22.047
5379000	44.04445	91.69025	26	0.53647	2.274978075	-0.06969751	-0.183	5802.411	9.146	5.912	0.767	61.194	34.506	21.867
5382200	44.18444	91.31361	30	0.359233	1.954355253	-0.5004891	-0.3850265	3701.953	14.57	6.199	0.804	61.225	34.024	19.565
5382300	43.96611	90.82583	22	0.173354	2.355775512	0.0400738	-0.3966346	326.524	1.96	2.388	0.872	61.225	34.001	18.588
5382500	43.89584	90.84028	47	0.283354	2.151041177	-0.2367817	-0.3971383	3962.307	80.362	37.756	0.826	56.534	34.116	24.294
5383000	43.90139	91.11806	58	0.229727	2.2399138	-0.117111	-0.4	7979.206	403.907	49.899	0.839	58.302	34.04	15.444
5383600	43.85555	92.44724	28	0.421534	2.253655043	-0.09854396	-0.254	599.1992	0.74	1.971	0.689	43.959	32.469	25.525
5383700	43.89917	92.23778	17	0.203648	2.206083685	-0.1627242	-0.246	1125.171	2.304	3.977	0.689	43.959	33.668	21.793
5383720	43.88361	92.22945	24	0.369036	2.403680662	0.105583	-0.246	11809.07	22.314	7.789	0.689	47.071	33.873	21.497
5383850	43.72334	92.59	24	0.363487	2.304705099	-0.02941165	-0.265	4684.555	14.61	8.006	0.617	35.519	34.3	23.357
5384000	43.74944	91.97861	68	0.281625	2.120841931	-0.2773225	-0.239	29403.37	615.377	98.373	0.65	41.948	33.786	22.736
