Station.ID	Lat	Long	No..Annual.Series	Zero.1.NonZero.2	FreqZero	Regional.Skew	Cont.1.PR.2	FlowQ2	FlowQ5	FlowQ10	FlowQ25	FlowQ50	FlowQ100	FlowQ200	FlowQ500	LP3G	LP3KQ2	LP3KQ5	LP3KQ10	LP3KQ25	LP3KQ50	LP3KQ100	LP3KQ200	LP3KQ500	LP3S	A	P1006	C	Sand	Long.1	OutletElev	E	Slope
6655000	41.455811	-104.883859	21	2	0	-0.022	1	13.8	55.8	110.3	219.9	336.8	487.9	677.8	996.1	-0.309	0.0514	0.8531	1.244	1.64	1.885	2.097	2.286	2.507	0.757	8.16	2.81	12.16	55.429	104.883859	6240	6235	7.78
6668040	41.336944	-102.174722	81	2	0	0.499	1	194.3	285.3	358.5	467.4	561.6	668	788.5	972.8	0.658	-0.1089	0.7941	1.331	1.955	2.387	2.795	3.185	3.679	0.185	897.9	3.88	5.2	81.082	102.174722	3310	3926	5.53
6675300	39.408878	-105.175823	72	2	0	-0.148	1	835.8	1291	1595	1976	2255	2529	2799	3153	-0.317	0.0527	0.8533	1.243	1.637	1.88	2.091	2.279	2.498	0.236	475.7	2.56	17.526	53.281	105.175823	6091	9464	31.55
6687000	40.162222	-100.959048	13	2	0	0.089	1	266.5	699.8	1176	2066	2992	4190	5723	8385	0.131	-0.0218	0.8346	1.295	1.795	2.123	2.422	2.699	3.038	0.49	9.1	4.52	22.041	8.833	100.959048	2670	2839	10.61
6707000	40.431667	-101.626944	31	2	0	0.223	1	298.1	602.4	893.4	1388	1866	2454	3174	4370	0.34	-0.0566	0.8209	1.312	1.862	2.231	2.573	2.893	3.292	0.348	1050	4.28	17.819	43.083	101.626944	3130	3740	2.06
6829700	40.373056	-101.116944	23	2	0	0.212	1	384.8	869.4	1374	2295	3241	4461	6024	8756	0.354	-0.0589	0.8198	1.314	1.866	2.238	2.583	2.907	3.31	0.403	1500	4.46	15.03	44.324	101.116944	2741	3374	3.54
6831500	40.30472	-101.11155	13	2	0	0.172	1	316.4	923.9	1655	3136	4786	7045	10090	15710	0.192	-0.032	0.8309	1.3	1.815	2.155	2.467	2.756	3.112	0.539	30.2	4.38	21.985	9.186	101.11155	2920	3031	8.38
6835000	40.236111	-100.811111	42	2	0	0.133	1	388	940	1490	2430	3330	4418	5720	7817	-0.023	0.0038	0.8427	1.279	1.743	2.042	2.31	2.555	2.851	0.458	320	4.44	20.659	13.805	100.811111	2555	3005	8.91
6835100	40.145837	-100.673208	33	2	0	0.076	1	780.8	1891	3032	5057	7068	9579	12680	17870	0.104	-0.0173	0.8362	1.292	1.786	2.109	2.403	2.673	3.005	0.45	361	4.61	21.673	9.125	100.673208	2503	2941	6.3
6836000	40.234172	-100.427369	37	2	0	0.128	1	129.3	298.9	464	742.9	1008	1326	1706	2317	0.021	-0.0035	0.8406	1.284	1.758	2.065	2.342	2.596	2.904	0.431	69	4.65	21.833	5.594	100.427369	2370	2655	6.74
6836500	40.250562	-100.317643	23	2	0	0.138	1	249.4	388.3	496.4	652	782.3	925.4	1083	1316	0.288	-0.048	0.8246	1.308	1.846	2.205	2.536	2.846	3.23	0.22	42	4.75	21.845	5.603	100.317643	2320	2568	6.26
6838200	40.602787	-100.700984	27	2	0	0.357	1	181.6	642.1	1283	2751	4565	7265	11200	19120	0.229	-0.0381	0.8286	1.304	1.827	2.174	2.493	2.79	3.157	0.633	6.7	4.52	21.601	6.352	100.700984	2780	2939	19.03
6838550	40.584731	-100.629593	19	2	0	0.345	1	659.6	2248	4498	9816	16620	27120	42990	76410	0.39	-0.0648	0.8172	1.316	1.877	2.256	2.608	2.94	3.354	0.604	11.3	4.56	21.918	5.983	100.629593	2722	2881	13.63
6839200	40.826396	-100.52403	19	2	0	0.493	1	98.5	627.8	1683	4882	9785	18380	32870	66830	0.086	-0.0143	0.8372	1.29	1.78	2.1	2.389	2.656	2.983	0.945	13.8	4.54	21.601	6.352	100.52403	2760	2936	18.59
6839600	40.744453	-100.531532	28	2	0	0.443	1	246.6	713.9	1263	2346	3521	5096	7172	10900	0.125	-0.0208	0.835	1.294	1.793	2.12	2.418	2.693	3.03	0.539	31.8	4.55	21.638	6.324	100.531532	2640	2889	18.84
6839850	38.051673	-104.793594	27	2	0	-0.101	1	921	2892	5211	9700	14440	20590	28450	41970	-0.07	0.0117	0.8449	1.274	1.726	2.016	2.275	2.51	2.793	0.596	171.4	4.12	22.762	42.575	104.793594	5350	7965	28.37
6839900	38.245558	-104.48636	36	2	0	-0.102	1	2365	5459	8599	14150	19660	26560	35130	49560	0.187	-0.0312	0.8312	1.3	1.813	2.153	2.463	2.751	3.106	0.421	474	3.78	24.916	31.695	104.48636	4582	6676	11.64
7107500	37.727782	-105.351395	76	2	0	-0.098	1	205.1	542.4	960.5	1856	2920	4474	6716	11220	0.591	-0.098	0.8003	1.328	1.936	2.355	2.749	3.124	3.598	0.47	73	3.15	17.234	50.684	105.351395	8270	10058	31.75
7108900	38.245558	-104.48636	36	2	0	-0.102	1	2365	5459	8599	14150	19660	26560	35130	49560	0.187	-0.0312	0.8312	1.3	1.813	2.153	2.463	2.751	3.106	0.421	474	3.78	24.916	31.695	104.48636	4582	6676	11.64
7111000	37.727782	-105.351395	76	2	0	-0.098	1	205.1	542.4	960.5	1856	2920	4474	6716	11220	0.591	-0.098	0.8003	1.328	1.936	2.355	2.749	3.124	3.598	0.47	73	3.15	17.234	50.684	105.351395	8270	10058	31.75
