Z06687000                       USGS 
H06687000       4120131021029003131069SW10180009897.9  80.00   3310.04          
N06687000       BLUE CREEK NEAR LEWELLEN, NEBR.
Y06687000       
306687000       19301004    20015                                      
306687000       19320424    3105               3.722                   
306687000       19330826    2965               3.462                   
306687000       19340503    2295               3.0426                   
306687000       19350612    5535               4.20                    
306687000       19360510    1825               2.882                   
306687000       19370825    4935               3.942                   
306687000       19380520    7205               4.46                    
306687000       19390602    1825               2.442                   
306687000       19400712    1595               2.502                   
306687000       19410606    6855               4.50                    
306687000       19420501    2865               2.682                   
306687000       19430201    1365               1.872                   
306687000       19440712    5285               4.23                    
306687000       19450417    1615               2.252                   
306687000       19460201    1345               1.942                   
306687000       19470629    3135               4.7926                   
306687000       19480728    2235               4.132                   
306687000       19490612    2545               3.762                   
306687000       19500826    3065               3.8226                   
306687000       19510520    2815               3.802                   
306687000       19520516    1955               3.282                   
306687000       19530729    3095               4.162                   
306687000       19540516    1725               3.782                   
306687000       19550527    2065               4.132                   
306687000       19551120    13025              4.692                   
306687000       19570531    2875               5.262                   
306687000       19580718    3765               5.6226                   
306687000       19590327    1545               4.482                   
306687000       19600319    2105               4.942                   
306687000       19610521    1795               4.472                   
306687000       19620711    5585               5.75                    
306687000       19630904    1705               3.932                   
306687000       19640403    1745               3.782                   
306687000       19650624    1865               3.852                   
306687000       19660217    2045               6.611                   
306687000       19670613    1725               3.772                   
306687000       19680815    2795               4.622                   
306687000       19690611    2215               4.342                   
306687000       19700419    1365               3.752                   
306687000       19710508    1335               3.862                   
306687000       19720627    1405               3.942                   
306687000       19730304    1445               3.812                   
306687000       19740530    1445               3.852                   
306687000       19750513    1465               3.852                   
306687000       19760408    1825               4.162                   
306687000       19770420    2245               4.17                    
306687000       19780529    1995               4.222                   
306687000       19790224    4805               5.502                   
306687000       19800407    1275               3.952                   
306687000       19801016    1975               4.342                   
306687000       19820623    1755               4.522                   
306687000       19830613    2805               5.0226                   
306687000       19840421    1525               4.262                   
306687000       19850724    2745               4.992                   
306687000       19860403    1485               4.092                   
306687000       19870503    3945               5.382                   
306687000       19880520    2105               4.572                   
306687000       19890323    1165               3.822                   
306687000       19900727    1735               4.132                   
306687000       19910621    1355               3.952                   
306687000       19920807    1475               3.80                    
306687000       19930506    1635               4.10                    
