Z06831500                       USGS 
H06831500       4025541013737003131029SW102500051050   859.0   3130             
N06831500       FRENCHMAN CREEK NEAR IMPERIAL, NEBR.
Y06831500       
306831500       19410130    1465               2.86                    
306831500       19420902    4605               4.172                   
306831500       19430614   18605               7.00                    
306831500       19440805    2725               2.65                    
306831500       19450929    3285               3.03                    
306831500       19460911    2845               2.76                    
306831500       19470624    2085               2.31                    
306831500       19480627    2005               2.092                   
306831500       19490520    2305               2.222                   
306831500       19500512    1465               1.662                   
306831500       19510521   18605               6.69                    
306831500       19520828    1675               1.702                   
306831500       19530817    1505               1.582                   
306831500       19540916    2665               2.14                    
306831500       19550630    3305               2.502                   
306831500       19560618    8245               4.11                    
306831500       19570626    3835               2.65                    
306831500       19580718   10705               5.01                    
306831500       19590518    1705               2.49                    
306831500       19600322   23405               8.43                    
306831500       19610614    1075               1.96                    
306831500       19620716    4005               3.31                    
306831500       19630712    1275               1.862                   
306831500       19640621    6265               4.07                    
306831500       19650718    3065               2.71                    
306831500       19660902    2375               2.54                    
306831500       19670620    8095               4.69                    
306831500       19671026   98.05               1.772                   
306831500       19690517    1245               1.682                   
306831500       19700618    3375               2.70                    
306831500       19710419    2695               2.35                    
306831500       19720511    1155               1.752                   
306831500       19730928    1285               1.81                    
306831500       19740610    1325               1.82                    
306831500       19750531    1745               2.072                   
306831500       19760623    1135               1.75                    
306831500       19770317    13525                                      
306831500       19780721    1095               1.70                    
306831500       19790213   57.05               1.46                    
306831500       19800406   71.05               1.62                    
306831500       19810826   84.05               1.75                    
306831500       19820721   93.05               1.692                   
306831500       19830711   62.05               1.522                   
306831500       19840421   63.05               1.522                   
306831500       19850305   51.05               1.322                   
306831500       19860213   48.05               1.33                    
306831500       19870503   80.05               1.77                    
306831500       19880216   52.05               1.47                    
306831500       19890804   68.05               1.612                   
306831500       19900530   42.05               1.671                   
306831500       19910503   87.05               1.831                   
306831500       19920805   91.05               1.87                    
306831500       19930723    1155               2.04                    
306831500       19940609   62.05               1.65                    
