Z06835000                       USGS 
H06835000       4022231010701003131085SW102500061500   380.00  2740.99          
N06835000       STINKING WATER CREEK NEAR PALISADE, NEBR.
Y06835000       
306835000       19500725    442                8.02                    
306835000       19510515    846                9.46                    
306835000       19520828   1030                9.81                    
306835000       19530820    106                3.302                   
306835000       19540817    193                4.96                    
306835000       19550617   1250               10.11                    
306835000       19560617   3030               11.30                    
306835000       19570517    239                5.44                    
306835000       19580719   1270               10.36                    
306835000       19590519    338                6.11                    
306835000       19600322   1780               10.80                    
306835000       19610827    145                4.40                    
306835000       19620802    514                7.55                    
306835000       19630918    340                6.23                    
306835000       19640623    298                5.99                    
306835000       19650706    234                5.20                    
306835000       19651019    123                3.83                    
306835000       19670607    761                9.10                    
306835000       19680805    340                5.95                    
306835000       19690627    208                4.80                    
306835000       19700612    150                4.10                    
306835000       19710422    154                4.52                    
306835000       19720617    688                8.60                    
306835000       19730911    375                6.59                    
306835000       19740610    225                5.30                    
306835000       19750608    270                5.83                    
306835000       19760706    108                4.31                    
306835000       19770708    306                6.11                    
306835000       19780527    237                5.54                    
306835000       19790628    152                4.96                    
306835000       19800621    293                6.02                    
306835000       19810807    200                5.20                    
306835000       19820613    272                6.00                    
306835000       19830307    111                4.43                    
306835000       19840616   2340               10.85                    
306835000       19850914   53.0                3.39                    
306835000       19860517   74.0                3.86                    
306835000       19870612   60.0                4.382                   
306835000       19880602    282                6.90                    
306835000       19890826    477                8.31                    
306835000       19900529   49.0                3.642                   
306835000       19910505   54.0                3.752                   
306835000       19920805    356                7.82                    
306835000       19930727    458                8.47                    
306835000       19940714   94.0                4.432                   
