Z06836000                       USGS 
H06836000       4014101004840003131087SW10250004320    270.00  2555.25          
N06836000       BLACKWOOD CREEK NEAR CULBERTSON, NEBR.
Y06836000       
306836000       19350531   530027                                      
306836000       19460618    394                7.173                   
306836000       19470622   1600               13.673                   
306836000       19480628    595                8.323                   
306836000       19490607    238                5.803                   
306836000       19500725    643                8.803                   
306836000       19510718   1360               11.743                   
306836000       19520829    100                3.633                   
306836000       19530806    134                3.803                   
306836000       19540613    205                4.773                   
306836000       19550617   1650               14.643                   
306836000       19560617   1560               14.083                   
306836000       19570708    406                6.733                   
306836000       19580515    383                5.813                   
306836000       19590714    664                8.263                   
306836000       19600321   1630               14.363                   
306836000       19610722   79.0                3.223                   
306836000       19620630   1250               12.893                   
306836000       19630205    144                4.153                   
306836000       19640607    251                5.373                   
306836000       19650705    884               10.963                   
306836000       19651018    176                4.513                   
306836000       19670709    307                6.0623                   
306836000       19680828    204                8.433                   
306836000       19690521    470               10.30                    
306836000       19700612    3002               4.79                    
306836000       19710612    166                4.14                    
306836000       19720619    618                6.35                    
306836000       19730725    468                5.72                    
306836000       19740608   1260                8.27                    
306836000       19750621    877                7.22                    
306836000       19760521    912                7.32                    
306836000       19770520    723                8.46                    
306836000       19780311    276                5.83                    
306836000       19790426    128                3.89                    
306836000       19800221    184                4.81                    
306836000       19810718    465                8.39                    
306836000       19820814    373                7.36                    
306836000       19830917   55.0                2.81                    
306836000       19840617    277                7.13                    
306836000       19850626    145                5.36                    
306836000       19860429   26.0                3.951                   

