Z06836500                       USGS 
H06836500       4008451004022003131145SW10250004361    351     2502.78          
N06836500       Driftwood Creek near McCook, Nebr.
Y06836500       
306836500       19460909   3400               20.573                   
306836500       19470625   2270               18.853                   
306836500       19480621   1520               15.773                   
306836500       19490618    780               11.403                   
306836500       19500807   4740               25.433                   
306836500       19510908   4470               24.763                   
306836500       19520705   1370               15.113                   
306836500       19530712    124                7.1113                   
306836500       19540818    593               10.953                   
306836500       19550618    284                9.233                   
306836500       19560617   3810               23.103                   
306836500       19570530   3620               22.163                   
306836500       19571023    560               12.043                   
306836500       19590720    220                7.543                   
306836500       19600321   2830               21.083                   
306836500       19610521    147                6.433                   
306836500       19620801    940               13.433                   
306836500       19630202    324                8.823                   
306836500       19640820    902               16.24                    
306836500       19650705    780               15.96                    
306836500       19651019    356               13.89                    
306836500       19670709    423               13.83                    
306836500       19680828   1960               18.74                    
306836500       19690508    488               14.21                    
306836500       19700612   1170               16.87                    
306836500       19710705    461               13.78                    
306836500       19720618   1660               18.20                    
306836500       19730721    374               13.49                    
306836500       19740608   1020               16.35                    
306836500       19750625    193               11.92                    
306836500       19760521    518               14.37                    
306836500       19770902    607               15.42                    
306836500       19780724    205               12.05                    
