Station.ID	Lat	Long	A	P1006	C	Sand	Long.1	OutletElev	E	Slope
6675300	41.455811	-104.883859	8.16	2.81	12.16	55.429	104.883859	6240	6235	7.78
6687000	41.336944	-102.174722	897.9	3.88	5.2	81.082	102.174722	3310	3926	5.53
6707000	39.408878	-105.175823	475.7	2.56	17.526	53.281	105.175823	6091	9464	31.55
6829700	40.162222	-100.959048	9.1	4.52	22.041	8.833	100.959048	2670	2839	10.61
6831500	40.431667	-101.626944	1050	4.28	17.819	43.083	101.626944	3130	3740	2.06
6835000	40.373056	-101.116944	1500	4.46	15.03	44.324	101.116944	2741	3374	3.54
6835100	40.30472	-101.11155	30.2	4.38	21.985	9.186	101.11155	2920	3031	8.38
6836000	40.236111	-100.811111	320	4.44	20.659	13.805	100.811111	2555	3005	8.91
6836500	40.145837	-100.673208	361	4.61	21.673	9.125	100.673208	2503	2941	6.3
6838200	40.234172	-100.427369	69	4.65	21.833	5.594	100.427369	2370	2655	6.74
6838550	40.250562	-100.317643	42	4.75	21.845	5.603	100.317643	2320	2568	6.26
6839200	40.602787	-100.700984	6.7	4.52	21.601	6.352	100.700984	2780	2939	19.03
6839600	40.584731	-100.629593	11.3	4.56	21.918	5.983	100.629593	2722	2881	13.63
6839850	40.826396	-100.52403	13.8	4.54	21.601	6.352	100.52403	2760	2936	18.59
6839900	40.744453	-100.531532	31.8	4.55	21.638	6.324	100.531532	2640	2889	18.84
7107500	38.051673	-104.793594	171.4	4.12	22.762	42.575	104.793594	5350	7965	28.37
7108900	38.245558	-104.48636	474	3.78	24.916	31.695	104.48636	4582	6676	11.64
7111000	37.727782	-105.351395	73	3.15	17.234	50.684	105.351395	8270	10058	31.75
